Demarcación,Embalse,Río,Capacidad,Actual,Diferencia s/anterior,Energía disponible,Capacidad energética,Año,Semana
Cantabrico Oriental,Añarbe,Añarbe,38,32,4,0,0,2024,9
Cantabrico Oriental,Ibiur,Ibiur,8,8,1,0,0,2024,9
Cantabrico Oriental,Ordunte,Ordunte,22,22,2,0,0,2024,9
Cantabrico Oriental,San Antón,Endara,5,5,0,0,0,2024,9
Cantabrico Occidental,Alfilorios,Barrea,8,5,0,0,0,2024,9
Cantabrico Occidental,*  Alsa - Mediajo,Torina,22,19,1,27,15,2024,9
Cantabrico Occidental,*  Arbón,Navia,41,38,2,1,1,2024,9
Cantabrico Occidental,"*  Barca, La",Narcea,34,27,11,3,2,2024,9
Cantabrico Occidental,"*  Cohilla, La",Nansa,12,6,2,16,9,2024,9
Cantabrico Occidental,*  Doiras,Navia,97,93,11,19,17,2024,9
Cantabrico Occidental,Rioseco,Nalón,4,4,1,0,0,2024,9
Cantabrico Occidental,*  Salime,Navia,238,233,28,99,97,2024,9
Cantabrico Occidental,Tanes,Nalón,34,26,-1,6,4,2024,9
Mino-Sil,*  Albarellos,Avia,91,49,3,32,16,2024,9
Mino-Sil,*  Bao,Bibey,238,204,15,290,240,2024,9
Mino-Sil,Bárcena,Sil,341,254,27,333,225,2024,9
Mino-Sil,*  Belesar,Miño,655,611,98,370,340,2024,9
Mino-Sil,"*  Campañana, La",Sil,14,10,1,8,4,2024,9
Mino-Sil,*  Castrelo,Miño,60,56,5,4,4,2024,9
Mino-Sil,*  Cenza,Cenza,40,31,2,112,84,2024,9
Mino-Sil,*  Chandrexa,Navea,61,58,0,101,96,2024,9
Mino-Sil,"*  Conchas, Las",Limia,80,71,6,30,26,2024,9
Mino-Sil,*  Edrada-Mao,Mao,14,13,3,22,20,2024,9
Mino-Sil,*  Frieira,Miño,44,42,4,1,1,2024,9
Mino-Sil,*  Guístolas,Navea,5,4,0,4,4,2024,9
Mino-Sil,*  Matalavilla,Valseco,65,42,8,115,68,2024,9
Mino-Sil,*  Montefurado,Bibey-Sil,10,9,0,4,4,2024,9
Mino-Sil,"*  Peares, Os",Miño,182,178,3,50,49,2024,9
Mino-Sil,*  Peñarrubia,Sil,13,12,2,5,5,2024,9
Mino-Sil,*  Pías (San Agustín),Bibey,10,6,1,19,10,2024,9
Mino-Sil,"*  Portas, Las",Camba,536,516,24,906,857,2024,9
Mino-Sil,*  Prada,Jares,122,111,8,221,200,2024,9
Mino-Sil,"*  Rozas, Las",Sil,28,19,8,55,35,2024,9
Mino-Sil,*  Salas,Salas,87,58,0,79,52,2024,9
Mino-Sil,*  San. Estevo,Sil,213,196,15,77,69,2024,9
Mino-Sil,*  San Martiño,Sil,10,9,0,2,2,2024,9
Mino-Sil,*  San Pedro,Sil,6,5,-1,1,0,2024,9
Mino-Sil,*  San Sebastián,Bibey,46,30,6,116,77,2024,9
Mino-Sil,*  Santa Eulalia,Jares,10,4,-1,7,0,2024,9
Mino-Sil,*  Sequeiros,Sil,11,10,0,3,3,2024,9
Mino-Sil,*  Velle,Miño,17,14,1,1,1,2024,9
Mino-Sil,Vilasouto,Mao,21,19,1,0,0,2024,9
Galicia Costa,*  Barrie de la Maza,Tambre,31,23,-1,8,6,2024,9
Galicia Costa,Cecebre,Mero,22,14,1,0,0,2024,9
Galicia Costa,Eiras,Oitavén,22,20,-1,0,0,2024,9
Galicia Costa,*  Eume,Eume,123,123,0,54,54,2024,9
Galicia Costa,*  Fervenza,Jallas,103,97,9,112,105,2024,9
Galicia Costa,"Forcadas, As",Forcadas,11,8,0,0,0,2024,9
Galicia Costa,*  Portodemouros,Ulla,297,279,22,39,36,2024,9
Galicia Costa,"*  Ribeira, A",Eume,33,31,0,16,15,2024,9
Galicia Costa,Riocobo,Cobo,6,4,0,0,0,2024,9
Galicia Costa,*  Sta Uxia,Jallas,18,18,1,7,6,2024,9
Galicia Costa,Villagudín,Veduino,18,17,0,0,0,2024,9
Cuencas Internas del País Vasco,Ibai-Eder,Ibai-Eder,11,10,0,0,0,2024,9
Cuencas Internas del País Vasco,Urkulu,Urkulu,10,9,1,0,0,2024,9
Duero,"*  Agavanzal, Nª Sª de",Tera,36,27,0,34,23,2024,9
Duero,Águeda,Águeda,15,12,1,0,0,2024,9
Duero,Aguilar,Pisuerga,247,128,8,66,34,2024,9
Duero,*  Aldeadávila,Duero,114,110,4,35,33,2024,9
Duero,*  Almendra,Tormes,2.649,1.964,96,3.458,2.587,2024,9
Duero,Arlanzón,Arlanzón,22,21,4,4,4,2024,9
Duero,Barrios de Luna,Luna,308,238,14,252,188,2024,9
Duero,*  Burgomillodo,Duratón,14,12,0,6,5,2024,9
Duero,Camporredondo,Carrión,69,64,-1,43,40,2024,9
Duero,Casares de Arbas,Casares,37,20,0,0,0,2024,9
Duero,*  Castro,Duero,27,24,-1,14,13,2024,9
Duero,Castro de las Cogotas,Adaja,58,51,1,18,17,2024,9
Duero,*  Cernadilla,Tera,255,177,18,297,195,2024,9
Duero,Cervera,Rivera,10,5,0,3,1,2024,9
Duero,Compuerto,Carrión,95,91,4,42,40,2024,9
Duero,Cuerda del Pozo,Duero,249,213,4,58,54,2024,9
Duero,Irueña,Águeda,110,70,0,0,0,2024,9
Duero,Linares del Arroyo,Riaza,54,48,2,14,12,2024,9
Duero,"Pontón Alto, El",Eresma,7,7,0,0,0,2024,9
Duero,Porma-(Juan Benet),Porma,318,200,9,137,80,2024,9
Duero,*  Puente Porto,Segundera,23,13,1,54,30,2024,9
Duero,*  Rábanos,Duero,8,8,0,3,3,2024,9
Duero,Requejada,Pisuerga,59,11,3,23,4,2024,9
Duero,Riaño,Esla,641,425,17,372,211,2024,9
Duero,*  Ricobayo,Esla,1.145,752,102,945,585,2024,9
Duero,San José,Duero,6,6,0,2,2,2024,9
Duero,Santa Teresa,Tormes,496,409,3,406,329,2024,9
Duero,*  Saucelle,Duero,181,178,1,10,9,2024,9
Duero,Serones,Voltoya,6,6,0,0,0,2024,9
Duero,Úzquiza,Arlanzón,75,63,-2,15,13,2024,9
Duero,*  Valparaíso,Tera,169,152,-1,165,146,2024,9
Duero,"*  Vencías, Las",Duratón,5,4,0,2,1,2024,9
Duero,Villagonzalo,Tormes,6,6,0,3,3,2024,9
Duero,*  Villalcampo,Duero,66,56,-8,41,34,2024,9
Duero,Villameca,Tuerto,20,17,0,6,5,2024,9
Tajo,Aceña,Aceña,24,18,0,0,0,2024,9
Tajo,*  Alcántara,Tajo,3.160,2.825,27,791,669,2024,9
Tajo,Alcorlo,Bornova,180,95,2,0,0,2024,9
Tajo,*  Almoguera,Tajo,7,6,0,2,1,2024,9
Tajo,"Atance, El",Salado,35,10,1,0,0,2024,9
Tajo,"Atazar, El",Lozoya,426,333,6,0,0,2024,9
Tajo,*  Azután,Tajo,113,77,1,59,37,2024,9
Tajo,Baños,Baños,41,38,0,0,0,2024,9
Tajo,Beleña,Sorbe,53,41,0,0,0,2024,9
Tajo,*  Bolarque,Tajo,31,27,0,15,11,2024,9
Tajo,Borbollon,Árrago,88,63,-1,30,20,2024,9
Tajo,Buendía,Guadiela,1.705,454,13,1.515,298,2024,9
Tajo,Burguillo - Puente Nuevo,Alberche,201,151,5,218,141,2024,9
Tajo,Cáceres - Guadiloba,Guadiloba,20,17,0,0,0,2024,9
Tajo,*  Castrejón,Tajo,44,41,0,15,13,2024,9
Tajo,"Castro, El",Algodor,8,3,0,0,0,2024,9
Tajo,Cazalegas,Alberche,7,7,0,0,0,2024,9
Tajo,*  Cedillo,Tajo,260,240,-8,17,15,2024,9
Tajo,Entrepeñas,Tajo,813,380,11,782,304,2024,9
Tajo,Finisterre,Algodor,133,0,-1,0,0,2024,9
Tajo,Gabriel y Galán,Alagón,911,681,13,419,253,2024,9
Tajo,Guajaraz,Guajaraz,18,16,0,0,0,2024,9
Tajo,*  Guijo de Granadilla,Alagón,13,11,0,3,1,2024,9
Tajo,"Jarosa, La",La Jarosa,7,5,0,0,0,2024,9
Tajo,Jerte - Plasencia,Jerte,59,36,-3,0,0,2024,9
Tajo,*  Molino de Chincha,Guadiela,6,6,0,4,4,2024,9
Tajo,Navacerrada,Navacerrada,11,8,0,0,0,2024,9
Tajo,Navalcán,Guayerbas,34,31,1,0,0,2024,9
Tajo,Navamuño,Angostura,14,12,0,0,0,2024,9
Tajo,Pálmaces,Cañamares,31,21,1,0,0,2024,9
Tajo,"Pardo, El",Manzanares,43,20,1,0,0,2024,9
Tajo,Picadas,Alberche,15,14,0,9,8,2024,9
Tajo,Pinilla,Lozoya,38,28,0,0,0,2024,9
Tajo,Portaje,Fresnedilla,23,23,0,0,0,2024,9
Tajo,"Portiña, La",Portiña,5,2,0,0,0,2024,9
Tajo,Puentes Viejas,Lozoya,53,47,-1,0,0,2024,9
Tajo,Riosequillo,Lozoya,50,43,1,0,0,2024,9
Tajo,Rivera de Gata,Rivera de Gata,49,44,1,0,0,2024,9
Tajo,Rosarito,Tiétar,82,69,-1,0,0,2024,9
Tajo,Salor,Salor,14,13,0,0,0,2024,9
Tajo,San Juan,Alberche,138,103,3,104,61,2024,9
Tajo,Santillana,Manzanares,91,82,0,0,0,2024,9
Tajo,"Tajera, La",Tajuña,64,32,1,0,0,2024,9
Tajo,Torcón,Torcón,7,6,0,0,0,2024,9
Tajo,*  Torrejón (Tajo - Tietar),Tiétar,188,169,18,25,15,2024,9
Tajo,"Vado, El",Jarama,56,47,-1,0,0,2024,9
Tajo,*  Valdecañas,Tajo,1.446,1.294,26,664,562,2024,9
Tajo,Valdeobispo,Alagón,53,49,0,14,12,2024,9
Tajo,Valmayor,Aulencia,124,109,-2,0,0,2024,9
Tajo,"Vellón,El-(Pedrezuela)",Guadalix,41,36,0,0,0,2024,9
Tajo,"Villar, El",Lozoya,23,22,-1,0,0,2024,9
Guadiana,"Aguijón, El",Alcarrache,11,11,0,0,0,2024,9
Guadiana,Alange,Matachel,852,112,0,0,0,2024,9
Guadiana,Alcollarín,Alcollarín,52,34,0,0,0,2024,9
Guadiana,Andévalo,Malagón,634,186,0,0,0,2024,9
Guadiana,Boquerón,Rosal,6,5,0,0,0,2024,9
Guadiana,Brovales,Brovales,7,7,0,0,0,2024,9
Guadiana,Búrdalo,Búrdalo,79,31,1,0,0,2024,9
Guadiana,Canchales,Lácara,26,26,0,0,0,2024,9
Guadiana,Cancho del Fresno,Ruecas,15,12,-1,0,0,2024,9
Guadiana,Chanza,Chanza,338,161,1,0,0,2024,9
Guadiana,Cijara,Guadiana,1.505,570,14,296,59,2024,9
Guadiana,Cornalbo,Albarregas,3,3,0,0,0,2024,9
Guadiana,Cubilar,Cubilar,6,4,1,0,0,2024,9
Guadiana,El Vicario,Guadiana,32,1,0,0,0,2024,9
Guadiana,García de Sola,Guadiana,554,427,-7,38,28,2024,9
Guadiana,Gargáligas,Gargáligas,21,17,1,0,0,2024,9
Guadiana,Gasset,Becea,39,19,0,0,0,2024,9
Guadiana,Horno Tejero,Lácara,24,23,0,0,0,2024,9
Guadiana,La Cabezuela,Jabalón,43,1,0,0,0,2024,9
Guadiana,La Colada,Guadamatilla,58,32,0,0,0,2024,9
Guadiana,La Serena,Zújar,3.219,696,12,421,0,2024,9
Guadiana,Llerena,Conejo,8,1,0,0,0,2024,9
Guadiana,Los Molinos,Matachel,34,7,0,0,0,2024,9
Guadiana,Montijo,Guadiana,11,2,0,0,0,2024,9
Guadiana,Nogales,Nogales,18,15,0,0,0,2024,9
Guadiana,Orellana,Guadiana,808,561,16,20,0,2024,9
Guadiana,Peñarroya,Guadiana,51,37,0,0,0,2024,9
Guadiana,Piedra Aguda,Olivenza,16,16,0,0,0,2024,9
Guadiana,Proserpina,Pardilla,5,5,0,0,0,2024,9
Guadiana,Pto. Vallehermoso,Azuer,7,5,0,0,0,2024,9
Guadiana,Ruecas,Ruecas,42,29,-3,0,0,2024,9
Guadiana,Sierra Brava,Pizarroso,233,137,7,0,0,2024,9
Guadiana,Tentudia,Bodión,5,1,0,0,0,2024,9
Guadiana,Torre de Abrahán,Bullaque,183,46,2,0,0,2024,9
Guadiana,Valuengo,Ardila,20,19,0,0,0,2024,9
Guadiana,Vega del Jabalón,Jabalón,34,0,0,0,0,2024,9
Guadiana,Villalba de los Barros,Guadajira,106,48,0,0,0,2024,9
Guadiana,Villar del Rey,Zapatón,131,125,-2,0,0,2024,9
Guadiana,Zújar,Zújar,302,92,-1,18,1,2024,9
"Tinto, Odiel y Piedras",Corumbel Bajo,Corumbel,19,10,-1,0,0,2024,9
"Tinto, Odiel y Piedras",Jarrama,Jarrama,43,37,0,0,0,2024,9
"Tinto, Odiel y Piedras",Los Machos,Piedras,12,12,0,0,0,2024,9
"Tinto, Odiel y Piedras",Odiel,Odiel,8,7,0,0,0,2024,9
"Tinto, Odiel y Piedras",Olivargas,Olivargas,29,29,0,0,0,2024,9
"Tinto, Odiel y Piedras",Piedras,Piedras,60,32,-1,0,0,2024,9
"Tinto, Odiel y Piedras",Sancho,Meca,58,48,0,0,0,2024,9
Guadalete-Barbate,Almodóvar,Almodóvar,6,2,0,0,0,2024,9
Guadalete-Barbate,Arcos de la Frontera,Guadalete,14,12,0,0,0,2024,9
Guadalete-Barbate,Barbate,Barbate,228,27,1,0,0,2024,9
Guadalete-Barbate,Bornos,Guadalete,200,27,0,18,10,2024,9
Guadalete-Barbate,Celemín,Celemín,45,6,0,0,0,2024,9
Guadalete-Barbate,Guadalcacín II,Majaceite,800,127,-1,0,0,2024,9
Guadalete-Barbate,"Hurones, Los",Majaceite,135,69,2,23,12,2024,9
Guadalete-Barbate,Zahara-El Gastor,Guadalete,223,16,1,0,0,2024,9
Guadalquivir,Agrio (Aznalcollar),Agrio,20,18,-1,0,0,2024,9
Guadalquivir,Aguascebas,Aguascebas,6,6,1,0,0,2024,9
Guadalquivir,Aracena,Rivera de Huelva,129,47,1,0,0,2024,9
Guadalquivir,Arenoso,Arenoso,167,48,2,0,0,2024,9
Guadalquivir,Bembézar,Bembézar,328,54,1,53,4,2024,9
Guadalquivir,Bermejales,Cacín,91,15,0,6,5,2024,9
Guadalquivir,"Bolera, La",Guadalentín,54,28,5,0,0,2024,9
Guadalquivir,"Breña II, La",Guadiato,823,126,0,0,0,2024,9
Guadalquivir,*  Cala,Rivera de Cala,59,32,0,21,12,2024,9
Guadalquivir,Canales,Genil,70,39,1,43,33,2024,9
Guadalquivir,Colomera,Colomera,40,5,1,0,0,2024,9
Guadalquivir,Cubillas,Cubillas,14,7,1,0,0,2024,9
Guadalquivir,El Portillo,Castril,31,27,5,0,0,2024,9
Guadalquivir,"Fernandina, La",Guarrizas,247,79,1,0,0,2024,9
Guadalquivir,Francisco Abellán,Fardes,58,10,1,0,0,2024,9
Guadalquivir,Fresneda,Fresneda,19,6,0,0,0,2024,9
Guadalquivir,Gergal,Rivera de Huelva,35,29,-1,0,0,2024,9
Guadalquivir,Giribaile,Guadalimar,491,94,3,0,0,2024,9
Guadalquivir,Guadalén,Guadalén,163,37,2,13,2,2024,9
Guadalquivir,Guadalmellato,Guadalmellato,147,61,0,13,4,2024,9
Guadalquivir,Guadalmena,Guadalmena,345,64,2,86,5,2024,9
Guadalquivir,Huesna,Rivera de Huesna,135,58,0,0,0,2024,9
Guadalquivir,Iznájar,Genil,920,188,5,279,15,2024,9
Guadalquivir,Jándula,Jándula,325,84,1,86,4,2024,9
Guadalquivir,José Torán,Guadalbarcar,101,29,0,0,0,2024,9
Guadalquivir,Martín Gonzalo,Martín Gonzalo,20,6,0,0,0,2024,9
Guadalquivir,"Melonares, Los",Viar,186,103,1,0,0,2024,9
Guadalquivir,"Minilla, La",Rivera de Huelva,58,36,0,0,0,2024,9
Guadalquivir,Montoro,Montoro,105,30,1,0,0,2024,9
Guadalquivir,Negratín,Guadiana Menor,571,128,1,45,4,2024,9
Guadalquivir,"Pintado, El",Viar,215,54,0,77,12,2024,9
Guadalquivir,Puebla de Cazalla,Carbones,63,0,0,0,0,2024,9
Guadalquivir,Puente Nuevo,Guadiato,281,40,0,9,0,2024,9
Guadalquivir,Quéntar,Aguas Blancas,14,10,1,0,0,2024,9
Guadalquivir,Quiebrajano,Quiebrajano,33,7,1,4,3,2024,9
Guadalquivir,Retortillo,Retortillo,61,16,0,2,1,2024,9
Guadalquivir,Rumblar,Rumblar,140,36,1,16,4,2024,9
Guadalquivir,San Clemente,Guardal,117,14,2,0,0,2024,9
Guadalquivir,San Rafael de Navallana,Guadalmellato,156,80,2,0,0,2024,9
Guadalquivir,Sierra Boyera,Guadiato,39,4,0,0,0,2024,9
Guadalquivir,Siles,Guadalimar,30,16,1,0,0,2024,9
Guadalquivir,Torre del Águila,Salado,48,2,0,0,0,2024,9
Guadalquivir,Tranco de Beas,Guadalquivir,506,164,15,175,24,2024,9
Guadalquivir,Vadomojón,Guadajoz,146,17,2,0,0,2024,9
Guadalquivir,Víboras,Víboras,17,6,1,0,0,2024,9
Guadalquivir,Yeguas,Yeguas,229,75,1,29,22,2024,9
Guadalquivir,Zufre,Rivera de Huelva,175,41,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Benínar,Grande de Adra,63,5,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Béznar,Izbor,53,29,1,0,0,2024,9
Cuenca Mediterránea Andaluza,Casasola,Campanillas,22,6,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Charco Redondo,Palmones,82,16,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Concepción,Verde de Marbella,62,15,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Conde Guadalhorce,Turón,66,13,0,5,4,2024,9
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,Almanzora,161,14,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,Gudalhorce-Guadalteba,279,47,0,23,23,2024,9
Cuenca Mediterránea Andaluza,Guadarranque,Guadarranque,88,26,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Limonero,Guadalmedina,22,4,0,0,0,2024,9
Cuenca Mediterránea Andaluza,Rules,Guadalfeo,111,40,1,0,0,2024,9
Cuenca Mediterránea Andaluza,"Viñuela, La",Guaro,165,13,0,0,0,2024,9
Segura,Alfonso XIII,Quípar,22,7,0,4,1,2024,9
Segura,Algeciras,Algeciras,45,5,0,0,0,2024,9
Segura,*  Anchuricas,Segura,6,5,-1,4,3,2024,9
Segura,Argos,Argos,10,7,0,2,1,2024,9
Segura,Camarillas,Mundo,36,6,0,8,1,2024,9
Segura,Cenajo,Segura,437,66,-2,103,14,2024,9
Segura,"Cierva, La",Mula,7,4,0,0,0,2024,9
Segura,Crevillente,Rambla de Bosch,13,4,-1,0,0,2024,9
Segura,Fuensanta,Segura,210,31,7,45,7,2024,9
Segura,La Pedrera,Dep.Arr.Grande,246,50,-1,0,0,2024,9
Segura,Puentes,Guadalentín,26,13,0,0,0,2024,9
Segura,Santomera,Rambla Salada,26,3,0,0,0,2024,9
Segura,Taibilla,Taibilla,9,6,0,2,1,2024,9
Segura,Talave,Mundo,35,8,1,10,2,2024,9
Segura,Valdeinfierno,Alcaide,12,0,0,0,0,2024,9
Júcar,Alarcón,Júcar,1.118,654,9,1.596,938,2024,9
Júcar,Algar,Palancia,6,0,0,0,0,2024,9
Júcar,Amadorio,Amadorio,16,3,0,0,0,2024,9
Júcar,Arenós,Mijares,137,49,-2,113,43,2024,9
Júcar,Arquillo de San Blas,Turia,21,17,0,7,5,2024,9
Júcar,Bellús,Albaida,69,17,0,0,0,2024,9
Júcar,Benagéber,Turia,221,135,-3,59,35,2024,9
Júcar,Beniarrés,Serpis,27,7,0,0,0,2024,9
Júcar,Buseo,Sot de Chera,8,1,0,0,0,2024,9
Júcar,Contreras,Cabriel,361,227,-3,232,146,2024,9
Júcar,*  Cortes II,Júcar,118,106,-1,17,10,2024,9
Júcar,El Naranjero,Júcar,29,19,1,0,0,2024,9
Júcar,Escalona,Escalona,99,5,0,0,0,2024,9
Júcar,Forata,Magro,37,10,0,0,0,2024,9
Júcar,Guadalest,Guadalest,13,5,0,0,0,2024,9
Júcar,*  La Muela,Júcar,20,15,-1,0,0,2024,9
Júcar,*  La Toba,Júcar,10,9,2,17,16,2024,9
Júcar,Loriguilla,Turia,73,20,0,18,5,2024,9
Júcar,María Cristina,Rambla Viuda,18,1,0,0,0,2024,9
Júcar,Regajo,Palancia,6,2,0,0,0,2024,9
Júcar,Sichar,Mijares,49,7,1,3,0,2024,9
Júcar,Tous - La Ribera,Júcar,379,108,8,0,0,2024,9
Júcar,Ulldecona,Cenia,11,1,0,0,0,2024,9
Ebro,Albiña,Albiña,5,3,0,3,2,2024,9
Ebro,Alcañiz (Estanca),Guadalope,7,6,0,3,3,2024,9
Ebro,Alloz,Salado,66,60,7,40,37,2024,9
Ebro,Barasona,Ésera,85,82,4,54,56,2024,9
Ebro,*  Baserca,Noguera-Ribagorzana,22,5,0,98,20,2024,9
Ebro,Búbal,Gállego,63,55,2,73,64,2024,9
Ebro,Calanda,Guadalope,54,21,0,16,6,2024,9
Ebro,*  Camarasa,Noguera-Pallaresa,163,142,-2,63,51,2024,9
Ebro,*  Canelles,Noguera-Ribagorzana,679,161,0,395,66,2024,9
Ebro,Cañón de Santolea,Guadalope,82,10,0,9,4,2024,9
Ebro,Caspe,Guadalope,82,41,0,17,9,2024,9
Ebro,*  Cavallers,Noguera de Tort,16,5,0,54,15,2024,9
Ebro,*  Certescáns,Certescáns,16,9,1,97,52,2024,9
Ebro,Ciurana,Ciurana,12,0,0,0,0,2024,9
Ebro,Cueva Foradada,Martín,22,14,0,4,2,2024,9
Ebro,Ebro,Ebro,541,187,17,468,156,2024,9
Ebro,*  Enciso,Cidacos,46,5,1,19,2,2024,9
Ebro,*  Escales,Noguera-Ribagorzana,152,74,3,149,67,2024,9
Ebro,Eúgui,Arga,21,16,0,10,8,2024,9
Ebro,González Lacasa,Albercos,33,30,3,20,19,2024,9
Ebro,"Grado, El",Cinca,400,380,-4,112,105,2024,9
Ebro,Guiamets,Asmat,10,0,0,0,0,2024,9
Ebro,*  Ip,Barranco de Ip,5,4,0,14,12,2024,9
Ebro,*  Irabia,Irati,14,11,2,17,14,2024,9
Ebro,Itoiz,Irati,417,404,49,234,265,2024,9
Ebro,Lanuza,Gállego,17,10,0,34,21,2024,9
Ebro,Las Fitas,Barranco Carnerario,9,2,0,5,2,2024,9
Ebro,Laverné,Barranco Vitale,38,29,-2,8,6,2024,9
Ebro,Lechago,Pancrudo,18,7,0,6,2,2024,9
Ebro,*  Llauset,Llauset,17,15,0,49,42,2024,9
Ebro,Loteta (La),Derivación Canal Imperial,104,41,0,30,11,2024,9
Ebro,Maidevera,Aranda,20,8,0,6,3,2024,9
Ebro,Mansilla,Najerilla,68,61,-1,62,56,2024,9
Ebro,Mediano,Cinca,435,397,24,267,260,2024,9
Ebro,*  Mequinenza,Ebro,1.373,1.219,53,239,207,2024,9
Ebro,Moneva,Aguas Vivas,8,2,0,2,1,2024,9
Ebro,Monteagudo,Nájima,10,5,0,3,2,2024,9
Ebro,Montearagón,Flumen,52,18,2,12,4,2024,9
Ebro,Nagore,Urrobi,5,5,0,3,3,2024,9
Ebro,Oliana,Segre,84,42,0,57,30,2024,9
Ebro,Pajares,Lumbreras,35,19,1,21,11,2024,9
Ebro,Parras (Las),Martín,5,4,0,1,1,2024,9
Ebro,Pena,Pena,18,9,0,2,2,2024,9
Ebro,"Peña, La",Gállego,15,15,0,10,7,2024,9
Ebro,Puente de Santolea,Guadalope,18,8,0,7,3,2024,9
Ebro,Rialb,Segre,404,127,3,217,72,2024,9
Ebro,*  Ribarroja,Ebro,210,182,-15,12,9,2024,9
Ebro,*  Sallente,Flamisell,6,3,-1,25,12,2024,9
Ebro,San Bartolomé,Arba,6,5,0,2,2,2024,9
Ebro,*  San Lorenzo,Segre,10,9,0,4,3,2024,9
Ebro,San Salvador,Arroyo la Clamor,137,135,0,30,29,2024,9
Ebro,Santa Ana,Noguera-Ribagorzana,237,164,2,92,59,2024,9
Ebro,Santa María de Belsué,Flumen,14,2,1,1,0,2024,9
Ebro,Santolea,Guadalope,5,2,0,12,1,2024,9
Ebro,*  Sistema Aguas Limpias,Aguas Limpias,18,6,0,68,24,2024,9
Ebro,*  Sistema Alto Caldarés,Caldarés,18,4,0,70,17,2024,9
Ebro,*  Sistema Capdella,Flamisell,50,30,0,191,115,2024,9
Ebro,*  Sistema Escarra,Escarra,5,1,0,14,4,2024,9
Ebro,*  Sistema Lagos Espot,Espot,10,9,0,33,30,2024,9
Ebro,*  Sistema Valle de Arán,Valartíes,22,8,0,172,64,2024,9
Ebro,*  Sobrón,Ebro,20,16,-1,12,10,2024,9
Ebro,Sotonera,Sotón,189,181,1,44,42,2024,9
Ebro,*  Terradets,Noguera-Pallaresa,33,32,-1,19,19,2024,9
Ebro,Terroba,Leza,8,1,0,4,1,2024,9
Ebro,"Torcas, Las",Huerva,7,1,0,2,0,2024,9
Ebro,"Tranquera, La",Piedra,82,46,1,29,17,2024,9
Ebro,*  Tremp ó Talárn,Noguera-Pallaresa,227,114,6,213,104,2024,9
Ebro,*  Ullivarri,Zadorra,146,128,13,85,75,2024,9
Ebro,Urdalur,Alzama,6,6,1,4,4,2024,9
Ebro,*  Urdiceto,Urdiceto,5,2,0,13,5,2024,9
Ebro,*  Urrunaga,Sta.Engracia,72,60,6,37,31,2024,9
Ebro,Vadiello,Guatizalema,16,9,2,3,2,2024,9
Ebro,"Val, El",Val,24,13,0,9,5,2024,9
Ebro,Valdepatao,Cinca,6,1,0,1,0,2024,9
Ebro,Yesa,Aragón,447,410,-11,152,142,2024,9
Cuencas Internas de Cataluña,Boadella,Muga,61,7,0,0,0,2024,9
Cuencas Internas de Cataluña,La Baells,Llobregat,109,21,-1,0,0,2024,9
Cuencas Internas de Cataluña,La Llosa del Cavall,Cardener,80,13,0,0,0,2024,9
Cuencas Internas de Cataluña,Riudecanyes,Riudecanyes,5,0,0,0,0,2024,9
Cuencas Internas de Cataluña,Sant Pons,Cardener,24,6,-1,0,0,2024,9
Cuencas Internas de Cataluña,Sau,Ter,165,2,-1,0,0,2024,9
Cuencas Internas de Cataluña,Susqueda,Ter,233,49,0,0,0,2024,9
Cantabrico Oriental,Añarbe,Añarbe,38,33,1,0,0,2024,10
Cantabrico Oriental,Ibiur,Ibiur,8,8,0,0,0,2024,10
Cantabrico Oriental,Ordunte,Ordunte,22,22,0,0,0,2024,10
Cantabrico Oriental,San Antón,Endara,5,5,0,0,0,2024,10
Cantabrico Occidental,Alfilorios,Barrea,8,6,1,0,0,2024,10
Cantabrico Occidental,*  Alsa - Mediajo,Torina,22,19,0,27,16,2024,10
Cantabrico Occidental,*  Arbón,Navia,41,37,-1,1,1,2024,10
Cantabrico Occidental,"*  Barca, La",Narcea,34,19,-8,3,1,2024,10
Cantabrico Occidental,"*  Cohilla, La",Nansa,12,8,2,16,11,2024,10
Cantabrico Occidental,*  Doiras,Navia,97,88,-5,19,16,2024,10
Cantabrico Occidental,Rioseco,Nalón,4,3,-1,0,0,2024,10
Cantabrico Occidental,*  Salime,Navia,238,235,2,99,98,2024,10
Cantabrico Occidental,Tanes,Nalón,34,28,2,6,5,2024,10
Mino-Sil,*  Albarellos,Avia,91,47,-2,32,15,2024,10
Mino-Sil,*  Bao,Bibey,238,211,7,290,250,2024,10
Mino-Sil,Bárcena,Sil,341,269,15,333,243,2024,10
Mino-Sil,*  Belesar,Miño,655,611,0,370,340,2024,10
Mino-Sil,"*  Campañana, La",Sil,14,12,2,8,6,2024,10
Mino-Sil,*  Castrelo,Miño,60,55,-1,4,4,2024,10
Mino-Sil,*  Cenza,Cenza,40,33,2,112,89,2024,10
Mino-Sil,*  Chandrexa,Navea,61,58,0,101,95,2024,10
